,delito,categoria,calidad,competencia,año,mes,fecha,hora,alcaldia,colonia
55688,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-13,21:19:00,BENITO JUAREZ,ALBERT
55699,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,11:40:00,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS
55701,"ROBO A LOCALES SEMIFIJOS (PUESTOS DE ALIMENTOS,BEBIDAS, ENSERES, PERIODICOS,LOTERIA, OTROS)",DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,18:00:00,CUAUHTEMOC,GUERRERO IV
55704,ROBO DE OBJETOS A ESCUELA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-20,09:45:00,VENUSTIANO CARRANZA,PENSADOR MEXICANO II
55708,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,11:40:00,COYOACAN,JARDINES DEL PEDREGAL
55727,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-18,09:42:00,IZTACALCO,MILITAR MARTE
55732,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,12:40:00,GUSTAVO A. MADERO,VILLA GUSTAVO A MADERO
55735,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-19,16:00:00,ALVARO OBREGON,EL PIRUL
55737,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-14,11:00:00,COYOACAN,CIUDAD UNIVERSITARIA
55746,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-26,12:00:00,IZTAPALAPA,PASEOS DE CHURUBUSCO
55748,ROBO A NEGOCIO SIN VIOLENCIA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-18,20:27:00,TLALPAN,TLALPAN CENTRO
55762,QUEBRANTAMIENTO DE SELLOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-06,12:00:00,TLALPAN,LOS VOLCANES
55764,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-16,12:00:00,VENUSTIANO CARRANZA,7 DE JULIO
55765,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Enero,2023-01-16,12:00:00,VENUSTIANO CARRANZA,7 DE JULIO
55775,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-10,12:47:00,TLALPAN,COAPA-VILLA CUEMANCO
55783,NARCOMENUDEO POSESION SIMPLE,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,13:15:00,ALVARO OBREGON,TLACOYAQUE
55785,ROBO DE FLUIDOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Febrero,2023-02-27,09:00:00,TLALPAN,LA MAGDALENA PETLACALCO (PBLO)
55791,ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,13:35:00,TLALPAN,TLALCOLIGIA
55792,QUEBRANTAMIENTO DE SELLOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Febrero,2023-02-02,10:00:00,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS
55797,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2022,Diciembre,2022-12-13,12:00:00,COYOACAN,HACIENDAS DE COYOACAN (FRACC)
55798,ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),DELITO DE BAJO IMPACTO,OFENDIDO,FUERO COMUN,2023,Marzo,2023-03-21,13:08:00,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO (FRACC)
